,Name,Gender,Year,CountOfNames,Percent_Change
20825,Aaliyah,F,1994,1451.0,6495.454545454545
620889,Alondra,F,1995,1205.0,708.7248322147651
1294073,Ashanti,F,2002,2945.0,948.0427046263346
1605009,Bailey,M,1995,1010.0,440.10695187165777
1717336,Bentley,M,2010,3771.0,622.4137931034483
1966631,Brenda,F,1939,2756.0,307.6923076923077
1988056,Bret,M,1958,1513.0,679.8969072164948
2006703,Brianne,F,1979,1661.0,722.2772277227723
2396591,Catina,F,1972,1370.0,9033.333333333332
2641897,Cheryl,F,1943,2878.0,387.79661016949154
3309814,Darrin,M,1965,3258.0,307.25
3389633,Dawson,M,1998,1895.0,806.6985645933014
3437110,Deanna,F,1937,1624.0,2009.090909090909
3496938,Deja,F,1995,1420.0,479.5918367346939
3613806,Deneen,F,1964,1604.0,7190.909090909091
3730594,Devante,M,1992,1565.0,1094.6564885496184
3750193,Devonte,M,1992,1325.0,409.6153846153846
3759551,Dewey,M,1898,1115.0,605.6962025316456
4551803,Ethan,M,1989,4055.0,353.07262569832403
5573733,Iesha,F,1991,1896.0,565.2631578947369
5824336,Jaclyn,F,1977,1939.0,496.6153846153846
5945682,Jaime,F,1976,7837.0,756.5027322404372
6214962,Jase,M,2013,4552.0,303.5460992907802
6300725,Jayceon,M,2013,1845.0,913.7362637362637
6461797,Jenna,F,1984,5879.0,403.3390410958904
6518774,Jermaine,M,1971,1015.0,493.5672514619883
6641934,Jillian,F,1977,1055.0,318.6507936507937
6945252,Julissa,F,1997,1355.0,411.3207547169812
7342211,Katina,F,1972,2744.0,2788.421052631579
7389759,Kayla,F,1982,2275.0,615.4088050314465
7800928,Kiara,F,1989,2624.0,1081.981981981982
8760432,Lindsay,F,1976,2070.0,301.16279069767444
8921232,Luann,F,1953,1197.0,492.5742574257426
9298917,Mandy,F,1975,2710.0,507.6233183856503
9387476,Mariah,F,1991,5192.0,370.7162284678151
9469426,Marlene,F,1931,2586.0,745.0980392156863
9501309,Marquita,F,1983,2543.0,1886.71875
9951137,Miley,F,2007,1233.0,525.8883248730965
10160184,Mya,F,1998,1284.0,555.1020408163265
10277476,Nakia,F,1974,1134.0,16100.0
10408719,Nayeli,F,2001,1845.0,341.3875598086125
10495733,Nevaeh,F,2001,1199.0,1111.111111111111
10576060,Nikita,F,1986,1034.0,538.2716049382716
12002447,Sabrina,F,1955,1119.0,710.8695652173913
12088776,Samantha,F,1965,1961.0,371.3942307692308
12279792,Selena,F,1995,3824.0,317.0119956379498
12479949,Shanice,F,1992,1859.0,511.5131578947368
12592246,Shaun,M,1977,2578.0,312.47999999999996
12662817,Shelby,F,1936,1071.0,1498.5074626865671
12860663,Sierra,F,1985,1200.0,421.7391304347826
13351444,Tammy,F,1957,4364.0,1591.4728682170544
14006589,Tristan,M,1995,3088.0,528.9205702647658
14131554,Tyrese,M,1999,1692.0,463.99999999999994
14580298,Woodrow,M,1912,1843.0,1423.1404958677685
15096492,Zion,M,1999,1070.0,342.1487603305785
