,Title,First Name,Date,YearAfter,Name,Gender,Year,CountOfNames,Percent_Change
388,Love Takes Time,Mariah,1990-11-17,1991,Mariah,F,1991,5192.0,370.7162284678151
390,Vision Of Love,Mariah,1990-08-18,1991,Mariah,F,1991,5192.0,370.7162284678151
278,Doo Wop (That Thing),Lauryn,1998-11-14,1999,Lauryn,F,1999,1883.0,199.8407643312102
696,Morning Train (Nine To Five),Sheena,1981-05-02,1982,Sheena,F,1982,1957.0,197.86910197869102
604,Saving All My Love For You,Whitney,1985-10-19,1986,Whitney,F,1986,9534.0,148.73467258022436
199,Goodies,Ciara,2004-10-16,2005,Ciara,F,2005,2323.0,137.0408163265306
794,Da Doo Ron Ron,Shaun,1977-07-09,1978,Shaun,M,1978,6107.0,136.88906128782003
247,Try Again,Aaliyah,2000-06-10,2001,Aaliyah,F,2001,3352.0,124.06417112299467
574,Invisible Touch,Genesis,1986-07-12,1987,Genesis,F,1987,138.0,115.625
1037,"Gypsys, Tramps & Thieves",Cher,1971-11-06,1972,Cher,F,1972,235.0,113.63636363636363
922,I Honestly Love You,Olivia,1974-10-05,1975,Olivia,F,1975,1049.0,106.90335305719923
180,Check On It,Beyonce,2006-02-25,2007,Beyonce,F,2007,185.0,74.52830188679245
308,"Because You Loved Me (From ""Up Close & Personal"")",Celine,1996-04-20,1997,Celine,F,1997,443.0,63.46863468634687
272,...Baby One More Time,Britney,1999-01-30,2000,Britney,F,2000,2403.0,60.735785953177256
512,Could've Been,Tiffany,1988-02-06,1989,Tiffany,M,1989,114.0,58.33333333333333
1001,You're So Vain,Carly,1973-01-13,1974,Carly,F,1974,370.0,54.16666666666667
713,Upside Down,Diana,1980-09-20,1981,Diana,F,1981,3969.0,51.720183486238525
602,Part-Time Lover,Stevie,1985-10-26,1986,Stevie,F,1986,326.0,51.62790697674418
