,Name,Year_x,Movie,YearAfter,Gender,Year_y,CountOfNames,Percent_Change
658,Dustin,1967,The Graduate,1968,M,1968,448.0,778.4313725490197
1305,Kylo,2015,Star Wars: The Force Awakens,2016,M,2016,238.0,580.0
1428,Tiffany,1961,Breakfast at Tiffany's,1962,F,1962,174.0,443.75
686,Ali,1970,Love Story,1971,F,1971,108.0,227.27272727272728
770,Talia,1976,Rocky,1977,F,1977,219.0,212.85714285714286
1092,Arwen,2002,The Lord of the Rings: The Two Towers,2003,F,2003,117.0,185.36585365853657
224,Vivien,1939,Gone with the Wind,1940,F,1940,148.0,184.6153846153846
1367,Ariel,1989,The Little Mermaid,1990,F,1990,3606.0,180.62256809338518
689,Ryan,1970,Love Story,1971,M,1971,6190.0,165.55126555126554
955,Connor,1991,Terminator 2: Judgment Day,1992,F,1992,134.0,148.14814814814815
1401,Rick,1942,Casablanca,1943,M,1943,237.0,146.875
1446,Elle,2001,Legally Blonde,2002,F,2002,417.0,111.67512690355328
1438,Reese,2001,Legally Blonde,2002,F,2002,614.0,102.64026402640263
1270,Elsa,2013,Frozen,2014,F,2014,1140.0,101.41342756183747
937,Demi,1990,Ghost,1991,F,1991,333.0,98.21428571428572
1020,Katya,1995,Die Hard with a Vengeance,1996,F,1996,115.0,94.91525423728812
1376,Charlize,2003,The Italian Job,2004,F,2004,436.0,92.07048458149781
956,Connor,1991,Terminator 2: Judgment Day,1992,M,1992,4605.0,87.19512195121952
872,Harrison,1984,Indiana Jones and the Temple of Doom,1985,M,1985,415.0,86.93693693693693
1393,Ingrid,1942,Casablanca,1943,F,1943,177.0,84.375
308,Luana,1946,Song of the South,1947,F,1947,164.0,80.21978021978022
