Title,First Name,Date
Old Town Road,Lil,2019-06-29
7 Rings,Ariana,2019-03-30
Sucker,Jonas,2019-03-09
Shallow,Lady,2019-03-02
Without Me,Halsey,2019-01-19
Sunflower (Spider-Man: Into The Spider-Verse),Post,2019-01-12
"Thank U, Next",Ariana,2018-12-29
Sicko Mode,Travis,2018-12-01
Girls Like You,Maroon,2018-11-03
In My Feelings,Drake,2018-09-15
Nice For What,Drake,2018-07-07
I Like It,Cardi,2018-06-30
Sad!,XXXTENTACION,2018-06-23
Psycho,Post,2018-06-09
This Is America,Childish,2018-05-19
God's Plan,Drake,2018-04-07
Havana,Camila,2018-01-20
Perfect,Ed,2018-01-13
